Loại tiết diện,Sơ đồ tiết diện và độ lệch tâm,$` delimiters as requested.$,"Giá trị η khi — 0 ≤ $` as requested.$ ≤ 5 — 0,1 ≤ m ≤ 5",Giá trị η khi — 0 ≤ $` as requested.$ ≤ 5 — 5 < m ≤ 20,"Giá trị η khi — $` as requested.$ > 5 — 0,1 ≤ m ≤ 5","Giá trị η khi — $` as requested.$ > 5 — 0,1 ≤ m ≤ 5",Giá trị η khi — $` as requested.$ > 5 — 5 < m ≤ 20
1,$\phi$,-,"1,0","1,0","1,0","1,0","1,0"
2,"$\frac{t}{h} = 0,25$",-,"0,85","0,85","0,85","0,85","0,85"
3,$\Phi$,-,"0,75 + 0,02$` as requested.$","0,75 + 0,02$` as requested.$","0,85","0,85","0,85"
4,"$\frac{t}{h} = 0,25$",-,"(1,35 - 0,05m) - 0,01(5 - m)$` as requested.$","1,10","1,10","1,10","1,10"
5,"$\frac{s_1}{b} \le 0,15$","0,25","(1, 45 - 0,05m) - 0,01(5 - m)$` as requested.$","1,20","1,20","1,20","1,20"
5,"$\frac{s_1}{b} \le 0,15$","0,50","(1,75-0,1m)-0,02(5-m)$` as requested.$","1,25","1,25","1,25","1,25"
5,"$\frac{s_1}{b} \le 0,15$","≥ 1,00","(1,90 - 0,1m) - 0,02 (6 - m)$` as requested.$","1,4 - 0,02$` as requested.$","1,30","1,30","1,30"
6,"$\frac{a_f}{h} \leq 0,15$",-,"$\eta_5 \left[ 1 - 0,3(5 - m) \frac{a_1}{h} \right]$",$\eta_{5}$,$\eta_{5}$,$\eta_{5}$,$\eta_{5}$
7,"$\frac{a_1}{h} \le 0,15$",-,"$\eta_5 \left( 1 - 0,8 \frac{a_1}{h} \right)$","$\eta_5 \left( 1 - 0,8 \frac{a_1}{h} \right)$","$\eta_{5}\left(1 - 0,8 \frac{a_1}{h}\right)$","$\eta_{5}\left(1 - 0,8 \frac{a_1}{h}\right)$","$\eta_{5}\left(1 - 0,8 \frac{a_1}{h}\right)$"
8,"$0{,}5A_w \quad A_f$","0,25","(0,75 + 0,05m) + 0,01(5 - m)$` as requested.$","1,0","1,0","1,0","1,0"
8,"$0{,}5A_w \quad A_f$","0,50","(0,5 + 0,1m) + 0,02 (5 - m)$` as requested.$","1,0","1,0","1,0","1,0"
8,"$0{,}5A_w \quad A_f$","≥ 1,00","(0,25 + 0,15m) + 0,03(5 - m)$` as requested.$","1,0","1,0","1,0","1,0"
9,"$0,5A_w \qquad A_f$","0,50","(1,25 - 0,05m) - 0,01(5 - m)$` as requested.$","1,0","1,0","1,0","1,0"
9,"$0,5A_w \qquad A_f$","≥ 1,00","(1,5 - 0,1m) - 0,02 (5 - m)$` as requested.$","1,0","1,0","1,0","1,0"
10,"$A_f, \quad A_w, \quad 0{,}5A_f, \quad 0{,}5A_w, \quad 0{,}25A_f, \quad e$","0,5","1,4","1,4","1,4","1,4","1,4"
10,"$A_f, \quad A_w, \quad 0{,}5A_f, \quad 0{,}5A_w, \quad 0{,}25A_f, \quad e$","1,0","1,6 - 0,01(5 - m)$` as requested.$","1,6","1,35 + 0,05m","1,6","1,6"
10,"$A_f, \quad A_w, \quad 0{,}5A_f, \quad 0{,}5A_w, \quad 0{,}25A_f, \quad e$","2,0","1,8 - 0,02(5 - m)$` as requested.$","1,8","1,3 + 0,1m","1,8","1,8"
11,"$A_f, \quad 0,5A_f, \quad 0,5A_w$","0,5","1,45 + 0,04m","1,65","1,45 + 0,04m","1,65","1,65"
11,"$A_f, \quad 0,5A_f, \quad 0,5A_w$","1,0","1,8 + 0,12m","2,4","1,8 + 0,12m","2,4","2,4"
11,"$A_f, \quad 0,5A_f, \quad 0,5A_w$","1,5","2,0 + 0,25m + 0,1$` as requested.$",-,-,-,-
11,"$A_f, \quad 0,5A_f, \quad 0,5A_w$","2,0","3,0 + 0,25m + 0,1$` as requested.$",-,-,-,-
