Tiêu chuẩn,Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất",Gia công nhiệt,
1,2,3,4,5,6,7,
EN 10025-2:2004,S235JR S235J0,< 3,235,360÷ 510,-,"AR, N hoặc TMCP",
EN 10025-2:2004,S235JR S235J0,≥ 3; ≤ 16,235,360÷ 510,"26 L, 24 T","AR, N hoặc TMCP",
EN 10025-2:2004,S235JR S235J0,> 16; ≤ 40,225,360÷ 510,"26 L, 24 T","AR, N hoặc TMCP",
EN 10025-2:2004,S275JR S275J0,< 3,275,430 ÷ 580,-,"AR, N hoặc TMCP",
EN 10025-2:2004,S275JR S275J0,≥ 3; ≤ 16,275,410 ÷ 560,"23 L, 21 T","AR, N hoặc TMCP",
EN 10025-2:2004,S275JR S275J0,> 16; ≤ 40,265,410 ÷ 560,"23 L, 21 T","AR, N hoặc TMCP",
EN 10025-2:2004,S355JR S355J0,< 3,355,510÷ 680,-,"AR, N hoặc TMCP",
EN 10025-2:2004,S355JR S355J0,≥ 3; ≤ 16,355,470÷ 630,"22 L, 20 T","AR, N hoặc TMCP",
EN 10025-2:2004,S355JR S355J0,> 16; ≤ 40,345,470÷ 630,"22 L, 20 T","AR, N hoặc TMCP",
ASTM A36 / A36M-19,Grade 250,≤ 20,250,400÷ 550,23,SR hoặc không,
ASTM A36 / A36M-19,Grade 250,≥ 20; ≤ 40,250,400÷ 550,23,SR hoặc không,
ASTM A283 / A283M-13,Grade C,-,205,-,25,-,
ASTM A283 / A283M-13,Grade D,-,230,415 ÷ 550,23,-,
ASTM A529 / A529M-14,Grade 345,≤ 25,345,450÷ 690,21,-,
ASTM A529 / A529M-14,Grade 380,≤ 25,380,485÷ 690,20,-,
ASTM A573 / A573M-20,Grade 400,≤ 40,220,400 ÷ 490,24,-,
ASTM A573 / A573M-20,Grade 450,≤ 40,240,450 ÷ 530,23,-,
ASTM A573 / A573M-20,Grade 485,≤ 40,290,485 ÷ 620,21,-,
ASTM A1011 / A1011M-14,"Grade 205, SS","≥ 0,65; < 1,6",205,340 L,21 L,HR,
