Tiêu chuẩn,Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất",Gia công nhiệt
1,2,3,4,5,6,7
ASTM A242 / A242M-13,Type 1,≤ 20,345,480,21,-
ASTM A242 / A242M-13,Type 1,> 20; ≤ 40,315,460,21,-
ASTM A572 / A572M-15,"Grade 290, Type 1, 2, 3, 5",-,290,415,24,-
ASTM A572 / A572M-15,"Grade 345, Type 1, 2, 3, 5",-,345,450,21,-
ASTM A572 / A572M-15,"Grade 380,Type 1, 2, 3, 5",-,380,485,20,-
ASTM A572 / A572M-15,"Grade 415, Type 1, 2, 3, 5",-,415,520,18,-
ASTM A572 / A572M-15,"Grade 450,Type 1, 2, 3, 5",-,450,550,17,-
ASTM A588 / A588M-15,Grade A,≤ 100,345,485,21,-
ASTM A588 / A588M-15,Grade B,≤ 100,345,485,21,-
ASTM A588 / A588M-15,Grade K,≤ 100,345,485,21,-
ASTM A633 / A633M-13,Grade A,≤ 100,290,430÷570,23,N
ASTM A633 / A633M-13,Grade C,≤ 65,345,485÷620,23,N
ASTM A633 / A633M-13,Grade D,≤ 65,345,485÷620,23,N
ASTM A633 / A633M-13,Grade E,≤ 100,415,550÷690,23,N hoặc NN
ASTM A656 / A656M-13,"Grade 345, Type 3, 7, 8",≤ 50,345,415,23,HR
ASTM A656 / A656M-13,"Grade 415, Type 3, 7, 8",≤ 40,415,485,20,HR
ASTM A656 / A656M-13,"Grade 485, Type 3, 7, 8",≤ 25,485,550,17,HR
ASTM A1011 / A1011M-14,"Grade 310,Class 1, HSLAS","≤ 2,5",310,410 L,23 L,HR
ASTM A1011 / A1011M-14,"Grade 310,Class 1, HSLAS","> 2,5",310,410 L,25 L,HR
ASTM A1011 / A1011M-14,"Grade 340,Class 2, HSLAS","≤ 2,5",340,410 L,20 L,HR
ASTM A1011 / A1011M-14,"Grade 340,Class 2, HSLAS","> 2,5",340,410 L,22 L,HR
ASTM A1011 / A1011M-14,"Grade 340,Class 1, HSLAS","≤ 2,5",340,450 L,20 L,HR
ASTM A1011 / A1011M-14,"Grade 340,Class 1, HSLAS","> 2,5",340,450 L,22 L,HR
ASTM A1011 / A1011M-14,"Grade 380,Class 2, HSLAS","≤ 2,5",380,450 L,18 L,HR
ASTM A1011 / A1011M-14,"Grade 380, Class 1, HSLAS","≤ 2,5",380,480 L,18 L,HR
ASTM A1011 / A1011M-14,"Grade 380, Class 1, HSLAS","> 2,5",380,480 L,20 L,HR
ASTM A1011 / A1011M-14,"Grade 410,Class 2, HSLAS","≤ 2,5",410,480 L,16 L,HR
ASTM A1011 / A1011M-14,"Grade 410,Class 2, HSLAS","> 2,5",410,480 L,18 L,HR
ASTM A1011 / A1011M-14,"Grade 410,Class 1, HSLAS","≤ 2,5",410,520 L,16 L,HR
ASTM A1011 / A1011M-14,"Grade 410,Class 1, HSLAS","> 2,5",410,520 L,18 L,HR
ASTM A1011 / A1011M-14,"Grade 450,Class 2, HSLAS","≤ 2,5",450,520 L,14 L,HR
ASTM A1011 / A1011M-14,"Grade 450,Class 2, HSLAS","> 2,5",450,520 L,16 L,HR
ASTM A1011 / A1011M-14,"Grade 450, Class 1, HSLAS","≤ 2,5",450,550 L,14 L,HR
ASTM A1011 / A1011M-14,"Grade 450, Class 1, HSLAS","> 2,5",450,550 L,16 L,HR
ASTM A1011 / A1011M-14,"Grade 480,Class 1, HSLAS","≤ 2,5",480,585 L,12 L,HR
ASTM A1011 / A1011M-14,"Grade 480,Class 1, HSLAS","> 2,5",480,585 L,14 L,HR
GB/T 1591-2008,"Q295A, Q295B",≤ 16,295,390÷570,23,"HR, CtR, N hoặc NT"
GB/T 1591-2008,"Q295A, Q295B",> 16; ≤ 35,275,390÷570,23,"HR, CtR, N hoặc NT"
GB/T 1591-2008,"Q295A, Q295B",> 35; ≤ 50,255,390÷570,23,"HR, CtR, N hoặc NT"
GB/T 1591-2008,"Q345A, Q345B",≤ 16,345,470÷630,21,"HR, CtR, N hoặc NT"
GB/T 1591-2008,"Q345A, Q345B",> 16; ≤ 35,325,470÷630,21,"HR, CtR, N hoặc NT"
