Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất"
1,2,3,4,5
C235,"≥ 2; ≤ 2,9",235,360,-
C235,≥ 3; ≤ 4,235,360,-
C245,"≥ 2; ≤ 2,9",245,370,-
C245,≥ 3; ≤ 4,245,370,26
C245,> 4; ≤ 10,235,370,25
C245,> 10; ≤ 40,235,370,25
C255,"≥ 2; ≤ 3,9",255,380,-
C255,≥ 4; ≤ 10,245,380,25
C255,> 10; ≤ 20,245,370,25
C255,> 20; ≤ 40,235,370,25
C345,"≥ 2; ≤ 3,9",345,490,-
C345,≥ 4; ≤ 10,345,490,21
C345,> 10; ≤ 20,325,470,21
C345,> 20; ≤ 40,305,460,21
C345,> 40; ≤ 60,285,450,21
C345,> 60; ≤ 80,275,440,21
C345,> 80; ≤ 160,265,430,21
C345K,≥ 4; ≤ 10,345,470,20
C355,≥ 4; ≤ 16,355,470,21
C355,> 16; ≤ 40,345,470,21
C355,> 40; ≤ 60,335,470,21
C355,> 60; ≤ 80,325,460,21
C355,> 80; ≤ 100,315,460,21
C355,> 100; ≤ 160,295,460,21
C355-1; <br>C355-K,≥ 8; ≤ 16,345,470,21
C355-1; <br>C355-K,> 16; ≤ 40,345,470,21
C355-1; <br>C355-K,> 40; ≤ 50,335,470,21
C355П,≥ 8; ≤ 16,355,470,21
C355П,> 16; ≤ 40,345,470,21
C390-1,≥ 8; ≤ 50,390,520÷680,20
C390,≥ 8; ≤ 40,390,520÷680,20
C390,> 40; ≤ 60,385,520÷680,20
C390,> 60; ≤ 80,375,510÷670,20
C390,> 80; ≤ 100,365,510÷670,20
C390,> 100; ≤ 160,360,51 ÷670,20
C440,≥ 8; ≤ 40,440,540÷700,20
C440,> 8; ≤ 60,430,540÷700,20
C440,> 60; ≤ 80,420,540÷700,20
C440,> 8; ≤ 100,410,530÷690,20
C440,> 100; ≤ 120,400,530÷690,20
C550,≥ 8; ≤ 50,540,640÷800,17
C590,≥ 8; ≤ 50,590,685÷845,15
