Các phòng trong nhà ở,"Nhiệt độ không khí, °C — Tiện nghi","Nhiệt độ không khí, °C — Giới hạn cho phép","Vận tốc chuyển động của không khí, m/s — Tiện nghi","Vận tốc chuyển động của không khí, m/s — Tối đa cho phép","Độ ẩm tương đối, %"
A. MÙA LẠNH,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm
"1. Phòng ở trong nhà trọ, khách sạn","24,5",22 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
2. Phòng ở nhà ở,"24,5",22 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
3. Phòng nghỉ và học tập trong nhà ở,"24,5",22 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
"4. Phòng sinh hoạt chung, tiếp khách","24,5",22 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
5. Phòng ăn,"24,5",22 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
6. Bếp,"23,5",21 ÷ 24,"0,05 ÷ 0,1","0,2",60 ÷ 70
7. Phòng vệ sinh,"23,5",21 ÷ 24,"0,05 ÷ 0,1","0,2",60 ÷ 70
B. MÙA NÓNG,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí
"1. Phòng ở nhà trọ, khách sạn","26,2",25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
2. Phòng ở nhà ở,"26,2",25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
3. Phòng nghỉ và học tập trong nhà ở,"26,2",25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
"4. Phòng sinh hoạt chung, tiếp khách","26,2",25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
5. Phòng ăn,"26,2",25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
6. Bếp,27,26 ÷ 28,"0,1 ÷ 0,2","0,3",60 ÷ 70
7. Phòng vệ sinh,27,26 ÷ 28,"0,1 ÷ 0,2","0,3",60 ÷ 70
