Các phòng trong nhà công cộng,"Nhiệt độ không khí, °C — Tiện nghi","Nhiệt độ không khí, °C — Giới hạn cho phép","Vận tốc chuyển động của không khí, m/s — Tiện nghi","Vận tốc chuyển động của không khí, m/s — Tối đa cho phép","Độ ẩm tương đối, %"
A. MÙA LẠNH,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm,Phòng có sưởi ấm
"1. Phòng mổ, phẫu thuật",25,25 ÷ 26,"0,05 ÷ 0,1","0,2",50 ÷ 60
"2. Thư viện, kho sách",25,23 ÷ 25,"0,05 ÷ 0,1","0,2",50 ÷ 60
"3. Bảo tàng (hiện vật gỗ, giấy, da, đồ vật dán keo)",25,23 ÷ 25,"0,05 ÷ 0,1","0,2",50 ÷ 60
4. Phòng nhà trẻ và mẫu giáo,25,24 ÷ 25,"0,1 ÷ 0,2","0,3",60 ÷ 70
5. Phòng an dưỡng & phòng bệnh nhân,"24,5",23 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
"6. Phòng học, phòng làm việc hành chính, nghiên cứu, thiết kế, thí nghiệm, khám chữa bệnh","24,5",23 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
"7. Phòng họp, phòng ăn, câu lạc bộ, phòng khán giả, phòng chiếu phim","24,5",23 ÷ 25,"0,05 ÷ 0,1","0,2",60 ÷ 70
"8. Phòng tập thể dục, thể thao và thi đấu","22,5",20 ÷ 23,"0,1 ÷ 0,2","0,3",60 ÷ 70
"9. Tiền sảnh, phòng thay quần áo, phòng vệ sinh","23,5",22 ÷ 24,"0,1 ÷ 0,2","0,3",60 ÷ 70
10. Phòng hút thuốc,"22,5",20 ÷ 23,"0,4 ÷ 0,6","0,7",60 ÷ 70
11. Phòng nhà trẻ và mẫu giáo,25,24 ÷ 25,"0,1 ÷ 0,2","0,3",60 ÷ 70
B. MÙA NÓNG,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí,Phòng có điều hòa không khí
"1. Phòng mổ, phẫu thuật",26,25 ÷ 26,"0,1 ÷ 0,2","0,3",50 ÷ 60
"2. Thư viện, kho sách",26,25 ÷ 27,"0,1 ÷ 0,2","0,3",50 ÷ 60
"3. Bảo tàng (hiện vật gỗ, giấy, da, đồ vật dán keo)",26,25 ÷ 27,"0,1 ÷ 0,2","0,3",50 ÷ 60
4. Phòng nhà trẻ và mẫu giáo,26,25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
5. Phòng an dưỡng & phòng bệnh nhân,26,25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
"6. Phòng học, phòng làm việc hành chính, nghiên cứu, thiết kế, thí nghiệm, khám chữa bệnh",26,25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
"7. Phòng họp, phòng ăn, câu lạc bộ, phòng khán giả, phòng chiếu phim",26,25 ÷ 27,"0,1 ÷ 0,2","0,3",60 ÷ 70
"8. Phòng tập thể dục, thể thao và thi đấu",25,24 ÷ 26,"0,1 ÷ 0,3","0,5",60 ÷ 70
"9. Tiền sảnh, phòng thay quần áo, phòng vệ sinh",27,26 ÷ 28,"0,1 ÷ 0,3","0,5",60 ÷ 70
10. Phòng hút thuốc,28,27 ÷ 29,"0,3 ÷ 0,5","0,7",60 ÷ 70
