"$P_{c}$, % — Mùa hè","$P_{c}$, % — Mùa đông",$P_{e}$,"Nhiệt độ, °C — Mùa hè — $t_{dry}$","Nhiệt độ, °C — Mùa hè — $t_{wet}$","Nhiệt độ, °C — Mùa hè — $t_{wet,coinc}$","Nhiệt độ, °C — Mùa đông — $t_{dry}$","Nhiệt độ, °C — Mùa đông — $t_{wet}$","Nhiệt độ, °C — Mùa đông — $t_{wet,coinc}$"
1,2,3,4,5,6,7,8,9
**1. Hà Giang**,,,,,,,,
"0,4","99,6","0,996","34,9","28,7","27,1","8,5","7,7","8,2"
"1,0","99,0","0,990","34,1","28,1","27,0","10,1","8,9","9,3"
"1,5","98,5","0,985","33,7","27,9","26,8","10,7","9,5","9,8"
"2,0","98,0","0,980","33,3","27,7","26,9","11,2","10,0","10,3"
"2,5","97,5","0,975","33,1","27,5","26,6","11,6","10,4","10,5"
"3,0","97,0","0,970","32,8","27,4","26,5","12,0","10,7","10,9"
"3,5","96,5","0,965","32,5","27,2","26,5","12,3","11,0","11,3"
"4,0","96,0","0,960","32,3","27,1","26,4","12,6","11,3","11,5"
"4,5","95,5","0,955","32,1","27,0","26,2","12,8","11,5","11,8"
"5,0","95,0","0,950","31,9","26,9","26,3","13,1","11,8","11,9"
**2. Sa Pa**,,,,,,,,
"0,4","99,6","0,996","25,8","21,6","18,6","1,5","1,2","1,4"
"1,0","99,0","0,990","24,9","21,0","18,6","2,7","2,4","2,5"
"1,5","98,5","0,985","24,5","20,7","18,7","3,3","3,0","3,2"
"2,0","98,0","0,980","24,2","20,5","18,6","3,8","3,5","3,6"
"2,5","97,5","0,975","23,9","20,3","18,8","4,1","3,9","3,9"
"3,0","97,0","0,970","23,6","20,2","18,3","4,4","4,2","4,2"
"3,5","96,5","0,965","23,4","20,0","18,4","4,7","4,5","4,5"
"4,0","96,0","0,960","23,1","19,9","18,6","5,0","4,7","4,8"
"4,5","95,5","0,955","22,9","19,8","18,6","5,3","5,0","5,1"
"5,0","95,0","0,950","22,8","19,7","18,8","5,5","5,2","5,2"
**3. Lai Châu**,,,,,,,,
"0,4","99,6","0,996","36,1","27,7","25,4","9,9","9,0","9,5"
"1,0","99,0","0,990","34,9","27,2","25,8","11,3","10,3","10,7"
"1,5","98,5","0,985","34,3","26,9","25,6","12,0","10,9","11,2"
"2,0","98,0","0,980","33,8","26,8","25,9","12,4","11,4","11,7"
"2,5","97,5","0,975","33,3","26,6","25,7","12,8","11,7","12,0"
"3,0","97,0","0,970","33,0","26,5","25,3","13,1","12,0","12,3"
"3,5","96,5","0,965","32,7","26,4","25,5","13,4","12,3","12,5"
"4,0","96,0","0,960","32,4","26,3","25,2","13,7","12,5","12,8"
"4,5","95,5","0,955","32,2","26,1","25,3","14,0","12,7","13,1"
"5,0","95,0","0,950","31,9","26,0","25,1","14,2","12,9","13,3"
**4. Lạng Sơn**,,,,,,,,
"0,4","99,6","0,996","33,8","27,6","26,5","5,1","4,0","4,3"
"1,0","99,0","0,990","33,0","26,9","25,8","6,5","5,3","5,6"
"1,5","98,5","0,985","32,5","26,7","25,7","7,3","6,0","6,3"
"2,0","98,0","0,980","32,2","26,5","25,7","7,8","6,5","6,8"
"2,5","97,5","0,975","31,9","26,3","25,5","8,3","6,8","7,0"
"3,0","97,0","0,970","31,6","26,2","25,5","8,6","7,2","7,4"
"3,5","96,5","0,965","31,3","26,1","25,3","8,9","7,4","7,9"
"4,0","96,0","0,960","31,1","26,0","25,2","9,2","7,7","8,0"
"4,5","95,5","0,955","30,9","25,9","25,1","9,5","7,9","8,2"
"5,0","95,0","0,950","30,7","25,8","25,0","9,7","8,1","8,4"
**5. Yên Bái**,,,,,,,,
"0,4","99,6","0,996","35,2","28,9","27,9","9,5","8,6","8,9"
"1,0","99,0","0,990","34,2","28,5","27,6","10,6","9,7","9,9"
