STT,Tính chất cơ sở được trang bị,Thiết bị báo cháy
A. Cơ sở sản xuất,A. Cơ sở sản xuất,
"I. Cơ sở sản xuất và bảo quản, lưu trữ","I. Cơ sở sản xuất và bảo quản, lưu trữ",
1,"Gỗ và sản phẩm gỗ, hàng dệt, nhựa quần áo may sẵn, giày da, hàng lông thú, thuốc lá, giấy, xenluloit, bông. Nhựa tổng hợp, sợi tổng hợp, vật liệu pôlime, cao su, sản phẩm cao su, cao su nhân tạo, phim ảnh và phim X quang dễ cháy.","nhiệt, khói, lửa"
2,"Vecni, sơn, dung môi, chất lỏng cháy, hóa chất, dầu bôi trơn, sản phẩm có còn.","khói, lửa"
3,"Kim loại kiềm, bột kim loại.",lửa
4,"Bột ngũ cốc, thức ăn tổng hợp và thực phẩm khác, vật liệu toả bụi.","nhiệt, lửa"
II. Cơ sở sản xuất:,II. Cơ sở sản xuất:,
,"Giấy, các tông, giấy dán tường, thức ăn gia súc và gia cầm.","nhiệt, khói hoặc lửa"
"III. Cơ sở bảo quản, lưu trữ:","III. Cơ sở bảo quản, lưu trữ:",
1,"Vật liệu không cháy đựng trong bao bì bằng vật liệu cháy được, chất rắn cháy được.",nhiệt hoặc khói
2,"Khu vực có thiết bị máy tính, thiết bị radio, tổng đài.",khói
B. Công trình chuyên dùng:,B. Công trình chuyên dùng:,
1,"Phòng đặt dây cáp, phòng máy biến thể, thiết bị phân phối và bảng điện.",nhiệt hoặc khói
2,"Phòng để thiết bị và ống dẫn chất lỏng dễ cháy, chất dầu mỡ, phòng thử động cơ đốt trong, phòng thử máy nhiên liệu, phòng nạp khí cháy.",nhiệt hoặc lửa
3,"Xưởng bảo dưỡng, sửa chữa ôtô, gara để xe.","nhiệt, khói hoặc lửa"
C. Nhà và công trình công cộng:,C. Nhà và công trình công cộng:,
1,"Phòng biểu diễn, phòng tập, giảng đường, phòng đọc và hội thảo, phòng diễn viên, phòng hoá trang, phòng để quần áo, nơi sửa chữa, phòng đợi, phòng nghỉ, hành lang, phòng đệm, phòng bảo quản sách, phòng lưu trữ, không gian phía trên trần treo.",khói
2,"Khu vực hoạt động Nghệ thuật, tủ quần áo, xưởng phục chế, phòng chiếu phim và ánh sáng, phòng dụng cụ, phòng tối.","nhiệt, khói hoặc lửa"
3,"Phòng ở, phòng bệnh nhân, kho hàng hóa, nhà ăn công cộng, bếp. Phòng hành chính quản trị, văn phòng, phòng máy, phòng điều khiển.","nhiệt, khói"
4,"Phòng bệnh, cơ sở thương mại, ăn uống công cộng, dịch vụ, phòng, khách sạn lưu trú và ký túc xá.","nhiệt, khói"
5,"Phòng trưng bày, phòng lưu trữ hiện vật của viện bảo tàng, triển lãm.","nhiệt, khói hoặc lửa"
D,Nhà và công trình có khối tích lớn:,
1,"Khoảng thông tầng, sảnh sản xuất, nhà kho, trung tâm logistic, cơ sở mua sắm, nhà ga hành khách, sân vận động và nhà thi đấu thể thao, rạp xiếc, v.v.",khói
2,"Phòng máy tính, radio, phòng máy chủ, tổng đài, Trung tâm dữ liệu, trung tâm chăm sóc khách hàng.",khói
