Chỉ tiêu,"Chiều cao sắp xếp vật liệu, hàng hóa (m)",Nhóm 5 — Bằng nước,Nhóm 5 — Bằng dung dịch chất tạo bọt,Nhóm 6 — Bằng nước,Nhóm 6 — Bằng dung dịch chất tạo bọt,Nhóm 7 — Bằng nước,Nhóm 7 — Bằng dung dịch chất tạo bọt
Cường độ phun tối thiểu (l/s.m2),Đến 1,"0,08","0,04","0,16","0,08",-,"0,1"
Cường độ phun tối thiểu (l/s.m2),Trên 1 đến 2,"0,16","0,08","0,32","0,2",-,"0,2"
Cường độ phun tối thiểu (l/s.m2),Trên 2 đến 3,"0,24","0,12","0,40","0,24",-,"0,3"
Cường độ phun tối thiểu (l/s.m2),Trên 3 đến 4,"0,32","0,16","0,40","0,32",-,"0,4"
Cường độ phun tối thiểu (l/s.m2),"Trên 4 đến 5,5","0,4","0,32","0,50","0,40",-,"0,4"
Lưu lượng tối thiểu (l/s),Đến 1,15,"7,5",30,15,-,18
Lưu lượng tối thiểu (l/s),Trên 1 đến 2,30,15,60,36,-,36
Lưu lượng tối thiểu (l/s),Trên 2 đến 3,45,"22,5",75,45,-,54
Lưu lượng tối thiểu (l/s),Trên 3 đến 4,60,30,75,60,-,75
Lưu lượng tối thiểu (l/s),"Trên 4 đến 5,5",75,"37,5",90,75,-,75
