Chỉ tiêu,Chiều cao khu vực bảo vệ (m),Nhóm 1 — Bằng nước,Nhóm 2 — Bằng nước,Nhóm 2 — Bằng dung dịch chất tạo bọt,Nhóm 3 — Bằng nước,Nhóm 3 — Bằng dung dịch chất tạo bọt,Nhóm 4.1 — Bằng nước,Nhóm 4.1 — Bằng dung dịch chất tạo bọt,Nhóm 4.2 — Bằng dung dịch chất tạo bọt
Cường độ phun tối thiểu (l/s.m2),Từ 10 đến 12,"0,09","0,13","0,09","0,26","0,13","0,33","0,17","0,20"
Cường độ phun tối thiểu (l/s.m2),Trên 12 đến 14,"0,1","0,14","0,1","0,29","0,14","0,36","0,18","0,22"
Cường độ phun tối thiểu (l/s.m2),Trên 14 đến 16,"0,11","0,16","0,11","0,31","0,16","0,39","0,2","0,25"
Cường độ phun tối thiểu (l/s.m2),Trên 16 đến 18,"0,12","0,17","0,12","0,34","0,17","0,42","0,21","0,27"
Cường độ phun tối thiểu (l/s.m2),Trên 18 đến 20,"0,13","0,18","0,13","0,36","0,18","0,45","0,23","0,30"
Lưu lượng tối thiểu (l/s),Từ 10 đến 12,12,35,25,70,35,130,65,95
Lưu lượng tối thiểu (l/s),Trên 12 đến 14,14,40,30,85,45,155,80,115
Lưu lượng tối thiểu (l/s),Trên 14 đến 16,17,50,35,95,50,180,90,140
Lưu lượng tối thiểu (l/s),Trên 16 đến 18,20,57,40,115,60,215,105,165
Lưu lượng tối thiểu (l/s),Trên 18 đến 20,24,65,50,130,65,240,120,195
Diện tích tính toán tối thiểu (m2),Từ 10 đến 12,66,132,132,198,198,238,238,238
Diện tích tính toán tối thiểu (m2),Trên 12 đến 14,72,144,144,216,216,259,259,259
Diện tích tính toán tối thiểu (m2),Trên 14 đến 16,78,156,156,230,230,276,276,276
Diện tích tính toán tối thiểu (m2),Trên 16 đến 18,84,168,168,252,252,303,303,303
Diện tích tính toán tối thiểu (m2),Trên 18 đến 20,90,180,180,270,270,325,325,325
