Loại ống,Đường kính danh định DN,"Đường kính ngoài, mm","Độ dày, mm","Đặc tính thủy lực của đường ống KT, x 10-6 l6/s2"
Ống thép hàn điện,15,18,"2,0","0,0755"
Ống thép hàn điện,20,25,"2,0","0,75"
Ống thép hàn điện,25,32,"2,2","3,44"
Ống thép hàn điện,32,40,"2,2","13,97"
Ống thép hàn điện,40,45,"2,2","28,7"
Ống thép hàn điện,50,57,"2,5",110
Ống thép hàn điện,65,76,"2,8",572
Ống thép hàn điện,80,89,"2,8",1429
Ống thép hàn điện,100,108,"2,8",4322
Ống thép hàn điện,100,108,"3,0",4231
Ống thép hàn điện,100,114,"2,8",5872
Ống thép hàn điện,100,114*,"3,0*",5757
Ống thép hàn điện,125,133,"3,2",13530
Ống thép hàn điện,125,133*,"3,5*",13190
Ống thép hàn điện,125,140,"3,2",18070
Ống thép hàn điện,150,152,"3,2",28690
Ống thép hàn điện,150,159,"3,2",36920
Ống thép hàn điện,150,159*,"4,0*",34880
Ống thép hàn điện,200,219*,"4,0*",209900
Ống thép hàn điện,250,273*,"4,0*",711300
Ống thép hàn điện,300,325*,"4,0*",1856000
Ống thép hàn điện,350,377*,"5,0*",4062000
Đường ống thép dẫn khí và nước,15,"21,3","2,5","0,18"
Đường ống thép dẫn khí và nước,20,"26,8","2,5","0,926"
Đường ống thép dẫn khí và nước,25,"33,5","2,8","3,65"
Đường ống thép dẫn khí và nước,32,"42,3","2,8","16,5"
Đường ống thép dẫn khí và nước,40,48,"3,0","34,5"
Đường ống thép dẫn khí và nước,50,60,"3,0",135
Đường ống thép dẫn khí và nước,65,"75,5","3,2",517
Đường ống thép dẫn khí và nước,80,"88,5","3,5",1262
Đường ống thép dẫn khí và nước,90,101,"3,5",2725
Đường ống thép dẫn khí và nước,100,114,"4,0",5205
Đường ống thép dẫn khí và nước,125,140,"4,0",16940
Đường ống thép dẫn khí và nước,150,165,"4,0",43000
