Trị tính toán của góc ma sát trong $_{II}$ ($^{0}$),Các hệ số — A,Các hệ số — B,Các hệ số — D
0,0,"1,00","3,14"
2,"0,03","1,12","3,32"
4,"0,06","1,25","3,51"
6,"0,10","1,39","3,71"
8,"0,14","1,55","3,93"
10,"0,18","1,73","4,17"
12,"0,23","1,94","4,42"
14,"0,29","2,17","4,69"
16,"0,36","2,43","5,00"
18,"0,43","2,72","5,31"
20,"0,51","3,06","5,66"
22,"0,61","3,44","6,04"
24,"0,72","3,87","6,45"
26,"0,84","4,37","6,90"
28,"0,98","4,93","7,40"
30,"1,15","5,59","7,95"
32,"1,34","6,35","8,55"
34,"2,55","7,21","9,21"
36,"1,81","8,25","9,98"
38,"2,11","9,44","10,80"
40,"2,46","10,84","11,73"
42,"2,87","12,50","12,77"
44,"3,37","14,48","13,96"
45,"3,66","15,64","14,64"
