"Số bậc tự do (n -1) đối với $R_{n}$ và , (n - 2) đối với c và","Hệ số t ứng với xác suất tin cậy — 0,85","Hệ số t ứng với xác suất tin cậy — 0,9","Hệ số t ứng với xác suất tin cậy — 0,95","Hệ số t ứng với xác suất tin cậy — 0,98","Hệ số t ứng với xác suất tin cậy — 0,99"
2,"1,34","1,89","2,92","4,87","6,96"
3,"1,25","1,64","2,35","3,45","4,54"
4,"1,19","1,53","2,13","3,02","3,75"
5,"1,16","1,48","2,01","2,74","3,36"
6,"1,13","1,44","1,94","2,63","3,14"
7,"1,12","1,41","1,90","2,54","3,00"
8,"1,11","1,40","1,86","2,49","2,90"
9,"1,10","1,38","1,83","2,44","2,82"
10,"1,10","1,37","1,81","2,40","2,76"
11,"1,09","1,36","1,80","2,36","2,72"
12,"1,08","1,36","1,78","2,33","2,68"
13,"1,08","1,35","1,77","2,30","2,65"
14,"1,08","1,34","1,76","2,28","2,62"
15,"1,07","1,34","1,75","2,27","2,60"
16,"1,07","1,34","1,75","2,26","2,58"
17,"1,07","1,33","1,74","2,25","2,57"
18,"1,07","1,33","1,73","2,24","2,55"
19,"1,07","1,33","1,73","2,23","2,54"
20,"1,06","1,32","1,72","2,22","2,53"
25,"1,06","1,32","1,71","2,19","2,49"
30,"1,05","1,31","1,70","2,17","2,46"
40,"1,05","1,30","1,68","2,14","2,42"
60,"1,05","1,30","1,67","2,12","2,39"
