Loại đất sét và giới hạn trị tiêu chuẩn của chỉ số sệt — Á cát,"Loại đất sét và giới hạn trị tiêu chuẩn của chỉ số sệt — 0 ≤ $I_{s}$ ≤ 0,25 — 0,25 < $I_{s}$ ≤ 0,75",Ký hiệu các đặc trưng của đất — $c^{tc}$ — $^{tc}$ — $c^{tc}$,"Đặc trưng của đất ừng với hệ số rỗng e — 0,45 — 15 — 30 — 13","Đặc trưng của đất ừng với hệ số rỗng e — 0,55 — 11 — 29 — 0,","Đặc trưng của đất ừng với hệ số rỗng e — 0,65 — 8 — 27 — 0,","Đặc trưng của đất ừng với hệ số rỗng e — 0,75 — 8","Đặc trưng của đất ừng với hệ số rỗng e — 0,85","Đặc trưng của đất ừng với hệ số rỗng e — 0,95","Đặc trưng của đất ừng với hệ số rỗng e — 1,05"
Á cát,"0,25 < $I_{s}$ ≤ 0,75",$^{tc}$,26,26,24,21,-,-,-
Á sét,"0 <$I_{s}$≤ 0,25",$c^{tc}$,47,37,31,25,22,19,-
Á sét,"0 <$I_{s}$≤ 0,25",$^{tc}$,26,25,24,23,22,20,-
Á sét,"0,25 < $I_{s}$ ≤ 0,5",$c^{tc}$,39,34,28,23,18,15,-
Á sét,"0,25 < $I_{s}$ ≤ 0,5",$^{tc}$,24,23,22,21,19,17,-
Á sét,"0,5 < $I_{s}$ ≤ 0,75",$c^{tc}$,-,-,25,20,16,14,12
Á sét,"0,5 < $I_{s}$ ≤ 0,75",$^{tc}$,-,-,19,18,16,14,12
Sét,"0 <$I_{s}$≤ 0,25",$c^{tc}$,-,81,68,54,47,41,36
Sét,"0 <$I_{s}$≤ 0,25",$^{tc}$,-,21,20,19,18,16,14
Sét,"0,25 < $I_{s}$ ≤ 0,5",$c^{tc}$,-,-,57,50,43,37,32
Sét,"0,25 < $I_{s}$ ≤ 0,5",$^{tc}$,-,-,18,17,16,14,11
Sét,"0,5 < $I_{s}$ ≤ 0,75",$c^{tc}$,-,-,45,41,36,33,29
Sét,"0,5 < $I_{s}$ ≤ 0,75",$^{tc}$,-,-,15,14,12,10,7
