m = 2z/b hoặc m = z/r,Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — Hình tròn,Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 1,"Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 1,4","Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 1,8","Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 2,4","Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 3,2",Hệ số đối với các móng — Chữ nhật ứng với tỷ số các cạnh n = l/b — 5,"Băng, khi n ≥ 0"
1,2,3,4,5,6,7,8,9
"0,0","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"0,4","0,949","0,960","0,972","0,975","0,976","0,977","0,977","0,977"
"0,8","0,756","0,800","0,848","0,866","0,875","0,879","0,881","0,881"
"1,2","0,547","0,606","0,682","0,717","0,740","0,749","0,754","0,755"
"1,6","0,390","0,449","0,532","0,578","0,612","0,630","0,639","0,642"
"2,0","0,285","0,336","0,414","0,463","0,505","0,529","0,545","0,550"
"2,4","0,214","0,257","0,325","0,374","0,419","0,449","0,470","0,477"
"2,8","0,165","0,201","0,260","0,304","0,350","0,383","0,410","0,420"
"3,2","0,130","0,160","0,210","0,251","0,294","0,329","0,360","0,374"
"3,6","0,106","0,130","0,173","0,209","0,250","0,283","0,320","0,337"
"4,0","0,087","0,108","0,145","0,176","0,214","0,248","0,285","0,306"
"4,4","0,073","0,091","0,122","0,150","0,185","0,218","0,256","0,280"
"4,8","0,067","0,077","0,105","0,130","0,161","0,192","0,230","0,258"
"5,2","0,053","0,066","0,091","0,112","0,141","0,170","0,208","0,239"
"5,6","0,046","0,058","0,079","0,099","0,124","0,152","0,189","0,223"
"6,0","0,040","0,051","0,070","0,087","0,110","0,136","0,172","0,208"
"6,4","0,036","0,045","0,062","0,077","0,098","0,122","0,158","0,106"
"6,8","0,032","0,040","0,055","0,069","0,088","0,110","0,144","0,184"
"7,2","0,028","0,036","0,049","0,062","0,080","0,100","0,133","0,175"
"7,6","0,024","0,032","0,044","0,056","0,072","0,091","0,123","0,166"
"8,0","0,022","0,029","0,040","0,051","0,066","0,084","0,113","0,158"
"8,4","0,021","0,026","0,037","0,046","0,060","0,077","0,105","0,150"
"8,8","0,019","0,024","0,034","0,042","0,055","0,070","0,098","0,144"
"9,2","0,018","0,022","0,031","0,039","0,051","0,065","0,091","0,137"
"9,6","0,016","0,020","0,028","0,036","0,047","0,060","0,085","0,132"
"10,0","0,015","0,019","0,026","0,033","0,044","0,056","0,079","0,126"
11,"0,011","0,017","0,023","0,029","0,040","0,050","0,071","0,114"
12,"0,009","0,015","0,020","0,026","0,031","0,044","0,060","0,104"
