m=2z/b hoặc m=z/r,Hệ số k đối với các móng — Hình tròn bán kính r,Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 1,"Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 1,4","Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 1,8","Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 2,4","Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 3,2",Hệ số k đối với các móng — Hình chữ nhật với tỷ số các cạnh n=l/b bằng — 5,Móng băng khi n ≥ 10
"0,0","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
"0,4","0,090","0,100","0,100","0,100","0,100","0,100","0,100","0,104"
"0,8","0,179","0,200","0,200","0,200","0,200","0,200","0,200","0,208"
"1,2","0,266","0,299","0,300","0,300","0,300","0,300","0,300","0,311"
"1,6","0,348","0,380","0,394","0,397","0,397","0,397","0,397","0,412"
"2,0","0,411","0,446","0,472","0,486","0,486","0,486","0,486","0,511"
"2,4","0,461","0,499","0,538","0,556","0,565","0,567","0,567","0,605"
"2,8","0,501","0,542","0,592","0,618","0,635","0,640","0,640","0,687"
"3,2","0,532","0,577","0,637","0,671","0,696","0,707","0,709","0,763"
"3,6","0,558","0,606","0,676","0,700","0,760","0,700","0,772","0,831"
"4,0","0,579","0,630","0,708","0,756","0,796","0,820","0,830","0,892"
"4,4","0,596","0,650","0,735","0,789","0,837","0,867","0,888","0,949"
"4,8","0,611","0,668","0,759","0,819","0,873","0,908","0,932","1,001"
"5,2","0,624","0,683","0,780","0,884","0,904","0,948","0,977","1,050"
"5,6","0,635","0,697","0,798","0,867","0,933","0,981","1,018","1,095"
"6,0","0,645","0,708","0,814","0,887","0,958","1,011","1,056","1,138"
"6,4","0,653","0,719","0,828","0,904","0,980","1,031","1,090","1,178"
"6,8","0,661","0,728","0,841","0,920","1,000","1,065","1,122","1,215"
"7,2","0,668","0,736","0,852","0,935","1,019","1,088","1,152","1,251"
"7,6","0,674","0,744","0,863","0,948","1,036","1,109","1,180","1,285"
"8,0","0,679","0,751","0,872","0,960","1,051","1,128","1,205","1,316"
"8,4","0,684","0,757","0,887","0,970","1,065","1,146","1,229","1,347"
"8,8","0,689","0,762","0,888","0,980","1,078","1,162","1,251","1,376"
"9,2","0,693","0,768","0,896","0,989","1,089","1,178","1,272","1,404"
"9,6","0,697","0,772","0,902","0,998","1,100","1,192","1,291","1,431"
"10,0","0,700","0,777","0,908","1,005","1,110","1,205","1,309","1,456"
"11,0","0,705","0,786","0,922","1,022","1,132","1,233","1,349","1,506"
"12,0","0,710","0,794","0,933","1,037","1,151","1,257","1,384","1,550"
