TT,"Tỉnh, Thành phố",Địa điểm<br>(Tên trạm khí tượng),Mật độ sét<br>(Số lần/$km^{2}$/năm)
1,An Giang,Châu Đốc,"4,5"
2,Bình Định,Quy Nhơn,"4,7"
3,Bình Dương,Không có số liệu trạm,Xác định theo bản đồ
4,Bình Phước,Đồng Phú,"14,9"
5,Bình Thuận,Phan Thiết,"7,9"
6,Bà Rịa Vũng Tàu,Vũng Tàu,"7,1"
7,Bắc Cạn,Bắc Cạn,"8,6"
8,Bắc Giang,Bắc Giang,"7,5"
9,Bắc Ninh,Không có số liệu trạm,Xác định theo bản đồ
10,Bạc Liêu,Bạc Liêu,11
11,Bến Tre,Ba Tri,"11,4"
12,Cà Mau,Cà Mau,"11,9"
13,Cao Bằng,Cao Bằng,"9,2"
14,Cần Thơ,Cần Thơ,"9,2"
15,Đà Nẵng,Đà Nẵng,"7,3"
16,Đắk Lắk,Buôn Mê Thuột,13
17,Đắc Nông,Đắc Nông,"12,2"
18,Đồng Nai,Xuân Lộc,"10,6"
19,Đồng Tháp,Cao Lãnh,"12,4"
20,Gia Lai,P-lây Cu,"9,4"
21,Hà Giang,Bắc Quang,"10,2"
22,Hà Giang,Hà Giang,"10,5"
23,Hà Nam,Hà Nam,"8,9"
24,Hà Nội,Hà Nội,"8,9"
25,Hà Tây,Sơn Tây,"9,1"
26,Hà Tĩnh,Hà Tĩnh,"8,2"
27,Hà Tĩnh,Kỳ Anh,"6,1"
28,Hải Dương,Hải Dương,"8,2"
29,Hải Phòng,Phù Liễn,"9,0"
30,Hưng Yên,Hưng Yên,"7,6"
31,Hòa Bình,Hòa Bình,"10,1"
32,Khánh Hòa,Cam Ranh,"3,7"
33,Khánh Hòa,Nha Trang,"3,2"
34,Kiên Giang,Phú Quốc,"7,3"
35,Kiên Giang,Rạch Giá,"12,2"
36,Kon Tum,Kon Tum,"6,8"
37,Lâm Đồng,Đà Lạt,"8,3"
38,Lào Cai,Sa Pa,"7,3"
39,Lào Cai,Lào Cai,"8,4"
40,Lạng Sơn,Lạng Sơn,"8,4"
41,Lai Châu,Lai Châu,"8,8"
42,Lai Châu,Tuần Giáo,"6,5"
43,Long An,Mộc Hóa,"16,2"
44,Nam Định,Nam Định,"7,4"
45,Nghệ An,Quỳ Châu,"12,4"
46,Nghệ An,Quỳ Hợp,"10,2"
47,Ninh Bình,Ninh Bình,"6,5"
48,Ninh Thuận,Phan Rang,1
49,Phú Thọ,Việt Trì,"9,1"
50,Phú Yên,Tuy Hòa,"3,4"
51,Quảng Bình,Tuyên Hóa,9
52,Quảng Nam,Tam Kỳ,"7,9"
53,Quảng Ngãi,Quảng Ngãi,"7,4"
54,Quảng Ninh,Cô Tô,"6,4"
55,Quảng Ninh,Móng Cái,"10,1"
56,Quảng Ninh,Uông Bí,"9,2"
57,Quảng Trị,Đông Hà,"7,2"
58,Sơn La,Quỳnh Nhai,"8,4"
59,Sơn La,Sơn La,"10,3"
60,Sóc Trăng,Sóc Trăng,"9,3"
61,Tây Ninh,Tây Ninh,13
62,Thái Bình,Thái Bình,"5,1"
63,Thái Nguyên,Thái Nguyên,"8,7"
64,Thanh Hóa,Thanh Hóa,8
65,Thừa Thiên Huế,Huế,"9,8"
66,Thừa Thiên Huế,Nam Đông,"13,6"
67,Thừa Thiên Huế,A Lưới,10
68,Tiền Giang,Mỹ Tho,"11,4"
69,Tp. Hồ Chí Minh,Tp. Hồ Chí Minh,12
70,Trà Vinh,Càng Long,"13,1"
71,Tuyên Quang,Tuyên Quang,"9,3"
72,Vĩnh Long,Không có số liệu trạm,Xác định theo bản đồ
73,Vĩnh Phúc,Tam Đảo,"7,9"
74,Vĩnh Phúc,Vĩnh Yên,"8,3"
75,Yên Bái,Yên Bái,"9,7"
