Tác động,"$\psi_{2,i}$"
Tác động thay đổi tại các khu vực,
Khu vực A: Khu vực ở,"0,3"
"Khu vực B: Khu vực làm việc, văn phòng, kỹ thuật, thí nghiệm","0,3"
"Khu vực C: Khu vực có thể tập trung đông người, trừ các khu vực A, B và D","0,6"
Khu vực D: Khu vực thương mại,"0,6"
Khu vực E: Khu vực kho,"0,8"
Khu vực F: Bãi đỗ xe trong nhà cho phương tiện giao thông có tổng trọng lượng không lớn hơn 30 kN,"0,6"
Khu vực G: Bãi đỗ xe trong nhà cho phương tiện giao thông có tổng trọng lượng lớn hơn 30 kN nhưng không lớn hơn 160 kN,"0,3"
Khu vực G1: Bãi đỗ xe cho phương tiện giao thông có tổng trọng lượng lớn hơn 160 kN,"0,0"
Khu vực H: Mái,"0,0"
Khu vực L: Chăn nuôi,"0,3"
Khu vực K: Bãi đỗ trực thăng,"0,0"
Tải trọng gió,"0,0"
