Dạng kết cấu,Cấp độ dẻo — DCM,Cấp độ dẻo — DCH
a) Khung chịu mô men,4,5 $\alpha_{u}$/$\alpha_{1}$
b) Khung có hệ giằng đúng tâm,,
Hệ giằng chéo,4,4
Hệ giằng chữ V,2,"2,5"
c) Khung có hệ giằng lệch tâm,4,5 $\alpha_{u}$/$\alpha_{1}$
d) Kết cấu con lắc ngược,2,2 $\alpha_{u}$/$\alpha_{1}$
e) Kết cấu có lõi bê tông hoặc vách bê tông,xem Điều 5,xem Điều 5
f) Khung chịu mô men kết hợp với hệ giằng đúng tâm,4,4 $\alpha_{u}$/$\alpha_{1}$
g) Khung chịu mô men kết hợp với tường chèn,,
Tường chèn khối xây hoặc bê tông không được liên kết mà chỉ tiếp giáp với khung,2,2
Tường chèn bê tông cốt thép được liên kết vào khung,xem Điều 7,xem Điều 7
Tường chèn phân cách với khung chịu mô men (xem phần khung chịu mô men),4,5 $\alpha_{u}$/$\alpha_{1}$
