Gia tốc ở địa điểm xây dựng $a_{g}$.S — Loại công trình — Khối xây không có cốt thép,Gia tốc ở địa điểm xây dựng $a_{g}$.S — Số tầng (n) 2) — 1 — 2 — 3,"≤ 0,07k.g — Tổng diện tích tiết diện ngang tối thiểu của các tường chịu cắt theo phương ngang ở mỗi phương, bằng tỷ lệ phần trăm tổng diện tích sàn mỗi tầng ($p_{A.min}$), % — 2,0 — 3,0","≤ 0,10k.g — Tổng diện tích tiết diện ngang tối thiểu của các tường chịu cắt theo phương ngang ở mỗi phương, bằng tỷ lệ phần trăm tổng diện tích sàn mỗi tầng ($p_{A.min}$), % — 2,0 — 2,5 — 5,0","≤ 0,15k.g — Tổng diện tích tiết diện ngang tối thiểu của các tường chịu cắt theo phương ngang ở mỗi phương, bằng tỷ lệ phần trăm tổng diện tích sàn mỗi tầng ($p_{A.min}$), % — 3,5 — 5,0 — N/A","≤ 0,20k.g — Tổng diện tích tiết diện ngang tối thiểu của các tường chịu cắt theo phương ngang ở mỗi phương, bằng tỷ lệ phần trăm tổng diện tích sàn mỗi tầng ($p_{A.min}$), % — N/A"
Khối xây không có cốt thép,4,"5,0",N/A <sup>1)</sup>,N/A,N/A
Khối xây bị hạn chế biến dạng,2,"2,0","2,5","3,0","3,5"
Khối xây bị hạn chế biến dạng,3,"2,0","3,0","4,0",N/A
Khối xây bị hạn chế biến dạng,4,"4,0","5,0",N/A,N/A
Khối xây bị hạn chế biến dạng,5,"6,0",N/A,N/A,N/A
Khối xây có cốt thép,2,"2,0","2,0","2,0","3,5"
Khối xây có cốt thép,3,"2,0","2,0","3,0","5,0"
Khối xây có cốt thép,4,"3,0","4,0","5,0",N/A
Khối xây có cốt thép,5,"4,0","5,0",N/A,N/A
"**<sup>1)</sup> N/A nghĩa là ""không chấp nhận""<br><sup>2)</sup> không gian mái trên toàn bộ các tầng không được kể đến trong số lượng các tầng.**",,,,,
